Time (s)	MSDx (um^2)	MSDy (um^2)
82.5	0.728336208718022	22.0726637912293
85.8	0.737409041631418	22.9491219963902
89.1	0.745247712180463	23.8227408536689
92.6	0.755432076465522	24.7514523335705
96.2	0.764905354511965	25.7081724258914
100	0.773908602885348	26.7153161978824
103.9	0.784288832778964	27.7498831023622
108	0.795638108111889	28.8400560757483
112.2	0.805782678022433	29.9581229631941
116.6	0.817359175575351	31.1251931286404
121.2	0.830911225130341	32.3444572509414
125.9	0.843506158126019	33.591201155392
130.8	0.856153262987409	34.8905214401741
135.9	0.869277601669897	36.2448705551947
141.3	0.883512024246152	37.6818398595796
146.8	0.897531109159691	39.141454770221
152.5	0.911629911142773	40.6479509892567
158.5	0.929128593725179	42.2316515072417
164.7	0.946098267992283	43.8761697434187
171.1	0.964188088320427	45.5755565297517
177.8	0.984371035436432	47.3515594141132
184.8	1.00275289625928	49.2107339400392
192	1.02172867132223	51.1199318921128
199.5	1.04188372164213	53.1055842596344
207.3	1.06270955569054	55.1691755980153
215.4	1.08576353673723	57.3191359909609
223.9	1.10836779118323	59.5675847729049
232.6	1.13127981956776	61.8673341050803
241.7	1.1558489872105	64.281789040765
251.2	1.18082527048025	66.8110864252751
261	1.20844789702788	69.4059073544394
271.2	1.23302567916926	72.0908776346312
281.8	1.26532824378616	74.8679854151111
292.9	1.29722426366768	77.7620886438709
304.3	1.32891625754243	80.7083881856107
316.2	1.36119305392275	83.779888563721
328.6	1.39617957132851	86.9951916361285
341.4	1.43275595772202	90.3059527163129
354.8	1.47137435611588	93.7562703232763
368.7	1.51097320371062	97.3232178362089
383.1	1.55210698211347	101.028472596817
398.1	1.59475348741625	104.912803326466
413.7	1.63668550612061	108.930531843424
429.9	1.6822921958967	113.105224080811
446.7	1.72863762791588	117.47812382365
464.2	1.77659694962649	122.045694663744
482.3	1.82629375399142	126.726776603255
501.2	1.8781143781689	131.653838016986
520.8	1.93437894985821	136.815778466835
541.2	1.98905160781741	142.176253891924
562.3	2.04813999143456	147.631334344564
584.3	2.106504089023	153.359844545252
607.2	2.17001822870116	159.378702741594
630.9	2.2341353417776	165.666852488349
655.6	2.30438238203369	172.227750581781
681.3	2.37703631007313	179.059332511623
707.9	2.44993013644583	186.174334561208
735.6	2.52285679578961	193.470635974421
764.4	2.60158615578488	201.060453207229
794.3	2.6826371125964	208.938233381933
825.4	2.76760309319395	217.112607320688
857.7	2.85638389042156	225.472783356924
891.2	2.95010629767471	234.22287141879
926.1	3.04852942385849	243.246591002544
962.3	3.15092214973881	252.442819390489
1000	3.2568557933867	262.010694052722
1039.1	3.36577715266581	271.842350665914
1079.8	3.48026415574261	281.995398270667
1122	3.59858434077461	292.530762688297
1165.9	3.72266581907748	303.590493896055
1211.5	3.85336812867898	314.84308978047
1258.9	3.98691335043868	326.444051117368
1308.2	4.12451018453319	338.71798281105
1359.3	4.27352097726002	351.334954880085
1412.5	4.4244918098561	364.735539847712
1467.8	4.5833593822719	378.704468553521
1525.2	4.75141189562579	393.139778358426
1584.9	4.92395502642157	407.929279918019
1646.9	5.1046175225668	423.968653043471
1711.3	5.29206403231186	441.120658322016
1778.2	5.49321325246482	459.287530468849
1847.8	5.69791865935568	478.170972068312
1920.1	5.90209994546403	498.91799712475
1995.2	6.11976469512772	521.121394826426
2073.3	6.3385794356782	544.190481746657
2154.4	6.57158395839039	568.293203459259
2238.7	6.81171858098486	593.461253448561
2326.3	7.05767565394337	619.494417071247
2417.3	7.32495009378837	646.836307138777
2511.8	7.60405023383004	675.309501522232
2610.1	7.89170573901667	705.187657190755
2712.2	8.2024213993739	735.531285832714
2818.3	8.51393426336237	766.419890608804
2928.6	8.83111296261385	797.586086909552
3043.2	9.16477226264435	830.185302108894
3162.2	9.51576218250726	864.556869978338
3285.9	9.89114644273408	899.20510082246
3414.5	10.2744113571934	934.28308062363
3548.1	10.6660002920145	971.133133430728
3686.9	11.0751982144328	1008.33554881852
3831.1	11.5295093000051	1045.19719446967
3981	12.0049941768182	1084.71169160927
4136.7	12.4913665780601	1127.60316145124
4298.6	12.9714555936311	1171.92450970654
4466.7	13.4387039558618	1217.31666727811
4641.5	13.9791946451561	1262.30689007157
4823.1	14.5578269352842	1312.67393212852
5011.8	15.119811788088	1367.9229566791
5207.8	15.6573465931754	1429.69934986304
5411.6	16.215522786708	1495.66972786906
5623.3	16.7449437057098	1567.1005267466
5843.3	17.2911237990192	1642.54748807245
6071.9	17.9101624165643	1722.98099143585
6309.4	18.5233534430339	1807.48271125366
6556.3	19.050789121298	1896.73678301006
6812.8	19.5265374031485	1989.82566033798
7079.3	19.993156500812	2083.38044380104
7356.3	20.3403293006682	2170.55827493488
7644.1	20.6831263606252	2234.87913890476
7943.1	21.1070912654471	2299.88476720484
8253.9	21.4810431342718	2394.16022936751
8576.8	21.9352978165677	2543.22767310337
8912.3	22.4211478101432	2734.48236130264
9261	22.6594552878856	2912.85070573029
9623.3	23.2042671411154	3082.47444415153
